COUNTRY;YEAR;CODE;NDN;NDC;NDC per 1000 borns;NDN per 1000 borns;HE;PPV;RVC ;GNI;PBSF ;PB ;BR;PISF ;DD;PMS ;PFS ;HIV;LE ;TP;PPHIV 
Antigua and Barbuda;2000;ATG2000;0;0;0;0;420;20;No;9230;85;2142;21;82;190;5;1,9;100;65;102000;0,098039215686275
Moco;2000;MCO2000;0;0;0;0;2684;80;Yes;90830;100;959,4;24,6;100;16041;38;28;50;60,1;39000;0,128205128205128
Andorra;2000;AND2000;0;0;0;0;1318;80;Yes;41010;100;847;11;100;139;44;32;10;81,2;77000;0,012987012987013
Saint Kitts and Nevis;2012;K2012;0;0;0;0;892;70;No;13710;72,2;764,5;13,9;92;202;12;0,6;270;66;55000;0,490909090909091
Saint Kitts and Nevis;2013;K2013;0;0;0;0;873;70;No;14540;72,2;758,45;13,79;92;204;12;0,6;270;66;55000;0,490909090909091
Moco;2012;MCO2012;0;0;0;0;6521;90;Yes;90830;100;739,83;18,97;100;18892;38;28;50;65,1;39000;0,128205128205128
Andorra;2012;AND2012;0;0;0;0;3414;90;Yes;41010;100;731,5;9,5;100;175;39;28;10;81,2;77000;0,012987012987013
Andorra;2013;AND2013;0;0;0;0;2948;90;Yes;43270;100;731,5;9,5;100;172;38;28;10;81,2;77000;0,012987012987013
Moco;2013;MCO2013;0;0;0;0;6993;90;Yes;90830;100;730,47;18,73;100;18986;38;28;50;65,1;39000;0,128205128205128
San Marino;2012;SMR2012;0;0;0;0;3877;12;No;6350;89,5;320,1;9,7;100;532;11;11;50;82;33000;0,151515151515152
San Marino;2000;SMR2000;0;0;0;0;2166;10;No;3470;89,5;320,1;9,7;100;457;11;11;50;80,62;33000;0,151515151515152
San Marino;2013;SMR2013;0;0;0;0;3847;12;No;6550;90;310,2;9,4;100;538;11;11;50;83,82;33000;0,151515151515152
Palau;2013;PLW2013;0;0;0;0;1008;99;Yes;9480;100;288,2;13,1;100;45;37,2;27;60;69,13;22000;0,272727272727273
Palau;2012;PLW2012;0;0;0;0;976;82;Yes;9630;100;279,4;12,7;100;45;37,2;27;60;69,13;22000;0,272727272727273
Congo;2000;COG2000;285;2160;0,68090257419001;0,089841311872293;22;5;Yes;480;14,6;3172260;39;13;9;10;2;200000;46,3;81340000;0,24588148512417
Brazil;2012;BRA2012;649;4329;1,37896104888957;0,206732668221143;1078;88;Yes;12280;81,6;3139320;15;84;24;21;12;48000;65,6;209288000;0,022934903100034
Brazil;2013;BRA2013;608;4201;1,33818788782284;0,193672515066957;1085;94;Yes;12730;82,1;3139320;15;85;24;20;12;48000;65,6;209288000;0,022934903100034
Russian Federation;2012;RUS2012;178;1346;0,701673062786759;0,092791831482944;913;35;No;13330;72,2;1918272,3;13,3;88;9;60;23;200000;63,4;144231000;0,138666444800355
Russian Federation;2013;RUS2013;162;1263;0,663392877965335;0,085090772945672;957;35;No;14840;72,2;1903849,2;13,2;88;9;60;23;200000;63,4;144231000;0,138666444800355
Turkey;2012;TUR2012;109;703;0,512142438249682;0,079407575774133;569;97;Yes;11880;93,7;1372665;17;94;97;43;14;50000;66,2;80745000;0,061923338906434
Turkey;2013;TUR2013;146;924;0,67314311940641;0,106362440945169;608;97;Yes;12530;94,1;1372665;17;95;98;42;13;50000;66,2;80745000;0,061923338906434
Saudi Arabia;2000;SAU2000;116;1224;1,42925870049557;0,135452621942391;396;90;Yes;8110;100;856388;26;98;10;20;4;500;62,8;32938000;0,001518003521768
Argenti;2000;ARG2000;141;1010;1,20073851362838;0,167627851902576;710;40;Yes;7440;95,5;841149;19;95;14;44;34;5500;65,4;44271000;0,012423482641007
Argenti;2012;ARG2012;92;634;0,795604847919004;0,115450545754808;994;41;Yes;11790;95,5;796878;18;95;15;32;21;5500;67,6;44271000;0,012423482641007
Argenti;2013;ARG2013;80;648;0,813173409229518;0,100391778917224;1074;86;Yes;12770;95,8;796878;18;95;16;31;19;5500;67,6;44271000;0,012423482641007
Venezuela (Bolivarian Republic of);2000;VEN2000;188;1083;1,41117052881759;0,244967737227799;273;5;Yes;3530;94;767448;24;87;28;21,6;11,8;6800;63,8;31977000;0,021265284423179
Thailand;2013;THA2013;184;816;1,07450705671975;0,242290806907395;264;50;No;5730;93,1;759418;11;95;133;42;2;6400;66,8;69038000;0,009270256959935
Thailand;2012;THA2012;205;897;1,18116768367355;0,269943562043565;247;40;No;5520;93,2;759418;11;95;133;42;2;6400;66,8;69038000;0,009270256959935
Malaysia;2000;MYS2000;68;452;0,649679184968838;0,097739346411241;122;60;No;3560;95,9;695728;22;97;71;55;3;12000;64,2;31624000;0,037945863900835
Saudi Arabia;2012;SAU2012;55;393;0,56816703243323;0,079514470187857;992;98;Yes;24050;100;691698;21;100;14;26;3;500;64,4;32938000;0,001518003521768
Saudi Arabia;2013;SAU2013;50;353;0,510338326842061;0,072285881988961;808;98;Yes;25440;100;691698;21;100;14;27;3;500;64,4;32938000;0,001518003521768
Ukraine;2012;UKR2012;195;485;0,950148732560363;0,382018562575816;290;80;No;3500;95,8;510446,4;11,4;96;79;51;14;17000;64,1;44776000;0,037966767911381
Ukraine;2013;UKR2013;181;444;0,893335715561908;0,364175145307895;313;80;No;3800;95,8;497013,6;11,1;96;79;50;14;17000;64,1;44776000;0,037966767911381
Sri Lanka;2012;LKA2012;75;258;0,712443460155633;0,207105657021986;88;80;No;3360;93,8;362134;17;93;326;29;1;1000;67;21302000;0,004694394892498
Sri Lanka;2013;LKA2013;71;226;0,663083278565393;0,208313773354615;102;90;No;3490;94,8;340832;16;94;328;29;1;1000;67;21302000;0,004694394892498
Chile;2000;CHL2000;36;291;0,948083470441624;0,117288676755665;364;70;Yes;5090;98,8;306935;17;92;21;50;44;2100;67,7;18055000;0,011631127111603
Tunisia;2012;TUN2012;80;287;1,2894958655258;0,359441356244125;292;25;No;4090;90,3;222567,6;19,3;91;70;45,1;4,4;500;66,7;11532000;0,004335761359695
Tunisia;2013;TUN2013;74;274;1,23108664513613;0,332483254525816;309;30;No;4130;90,9;222567,6;19,3;92;71;45,1;4,4;500;66,7;11532000;0,004335761359695
Cuba;2000;CUB2000;19;75;0,502327450520746;0,127256287465256;166;80;No;2610;92,7;149305;13;89;104;55;31;500;67,2;11485000;0,00435350457118
Libya;2012;LBY2012;35;189;1,35374697824335;0,25069388485988;669;25;Yes;10860;96,6;139612,5;21,9;100;4;29,5;0,9;6000;63,7;6375000;0,094117647058824
Libya;2013;LBY2013;33;181;1,35200746965453;0,246498599439776;433;35;Yes;10520;96,6;133875;21;100;4;29,5;0,9;6000;63,7;6375000;0,094117647058824
Cuba;2012;CUB2012;26;83;0,656983417105315;0,205802034273954;558;90;No;6210;92,7;126335;11;91;107;53;20;3300;69,2;11485000;0,028733130169787
Cuba;2013;CUB2013;24;81;0,678142058203007;0,200930980208298;603;90;No;6570;93,1;119444;10,4;91;110;53;19;3300;69,2;11485000;0,028733130169787
Lebanon;2000;LBN2000;36;137;1,18555184409561;0,311531871441181;579;40;No;5470;80,7;115558;19;75;316;35;24;100;61,2;6082000;0,001644195988162
Oman;2000;OMN2000;6;104;0,93471383376474;0,053925798101812;273;90;Yes;7070;96,7;111264;24;88;7;13;1;10000;63,2;4636000;0,215703192407248
Hungary;2000;HUN2000;15;76;0,776699029126214;0,153295861011753;326;85;Yes;4660;98;97850;10;98;114;46;34;1000;63,7;9785000;0,01021972406745
Oman;2012;OMN2012;4;55;0,570094934281529;0,041461449765929;605;99;Yes;19560;96,7;96475,16;20,81;98;11;19;1;10000;66,6;4636000;0,215703192407248
Costa Rica;2000;CRI2000;18;73;0,783144162893986;0,19310404016564;287;85;Yes;3580;94,3;93214;19;94;77;28;13;500;68,1;4906000;0,010191602119853
Oman;2013;OMN2013;4;57;0,614754098360656;0,04314063848145;678;99;Yes;20580;96,7;92720;20;99;12;19;1;10000;66,6;4636000;0,215703192407248
Serbia;2000;SRB2000;12;82;1,16626368937562;0,170672735030579;64;80;No;1530;96,5;70310;10;98;86;55;41;100;64,5;7031000;0,001422272791921
Bulgaria;2013;BGR2013;16;84;1,29052081732985;0,24581348901521;555;94;Yes;7610;86;65090;9,2;86;67;44;29;500;66,4;7075000;0,007067137809187
Jamaica;2000;JAM2000;24;39;0,642609985170539;0,395452298566485;189;70;Yes;3210;81,7;60690;21;84;245;29;9;1700;63,9;2890000;0,058823529411765
Slovakia;2012;SVK2012;10;42;0,7508138285606;0,178765197276333;1377;98;Yes;17550;98,8;55939,3;10,3;99;112;41;18;200;68,1;5431000;0,003682563063892
Slovakia;2013;SVK2013;2;37;0,67452887803971;0,036461020434579;1454;98;Yes;18140;98,8;54853,1;10,1;99;113;40;18;200;68,1;5431000;0,003682563063892
Slovakia;2000;SVK2000;11;72;1,32572270300129;0,202540968514086;208;90;Yes;5520;98,8;54310;10;99;112;46;21;100;64,9;5431000;0,001841281531946
Georgia;2013;GEO2013;25;61;1,17285137473563;0,480676792924438;350;10;Yes;4240;87,5;52010;14;86;66;59;6;1100;66,4;3715000;0,029609690444145
Georgia;2012;GEO2012;29;68;1,30744087675447;0,557585079792348;333;5;Yes;3870;88,1;52010;14;87;67;59;6;1100;66,4;3715000;0,029609690444145
Uruguay;2012;URY2012;3;35;0,723170378941279;0,061986032480681;1265;93;Yes;13910;95,9;48398;14;95;19;30;22;1000;67,9;3457000;0,028926815157651
Jamaica;2012;JAM2012;16;34;0,809683818468888;0,381027679279477;302;70;Yes;4970;81,7;41991,7;14,53;85;262;30;6;1700;67;2890000;0,058823529411765
Croatia;2000;HRV2000;11;21;0,505415162454874;0,2647412755716;371;80;No;5290;97,1;41550;10;97;79;40;28;100;66,4;4155000;0,002406738868833
Jamaica;2013;JAM2013;15;30;0,766663429643297;0,383331714821648;305;70;Yes;5020;81,8;39130,6;13,54;85;263;30;6;1700;67;2890000;0,058823529411765
Bosnia and Herzegovi;2000;BIH2000;16;45;1,1664981724862;0,41475490577287;103;5;No;1480;94,8;38577;11;95;74;58;36;1000;65,1;3507000;0,028514399771885
Albania;2013;ALB2013;14;38;1,01530980308334;0,374061506399124;240;99;Yes;4480;92,7;37427;13;87;106;51;8;500;68,8;2879000;0,017367141368531
Albania;2012;ALB2012;15;42;1,14598576194547;0,409280629266239;220;99;Yes;4360;92,1;36649,67;12,73;87;106;52;8;500;68,8;2879000;0,017367141368531
Lithuania;2012;LTU2012;3;15;0,514911847091778;0,102982369418356;939;35;Yes;14100;91,2;29131,2;10,2;92;48;41;22;500;66,1;2856000;0,01750700280112
Lithuania;2000;LTU2000;6;36;1,26050420168067;0,210084033613445;211;30;Yes;3210;91,2;28560;10;85;56;53;21;200;63,9;2856000;0,007002801120448
Mauritius;2000;MUS2000;1;14;0,64998375040624;0,046427410743303;146;1;No;3870;93;21539;17;91;585;47;5;1200;63,8;1267000;0,094711917916338
Trinidad and Tobago;2000;TTO2000;9;20;0,973946919892866;0,43827611395179;260;30;Yes;5400;91,5;20535;15;91;247;27,4;7,1;1000;61,4;1369000;0,073046018991965
Latvia;2000;LVA2000;6;13;0,740740740740741;0,341880341880342;196;45;Yes;3310;86,5;17550;9;87;38;57;25;1000;63;1950000;0,051282051282051
Estonia;2000;EST2000;5;11;0,930862317000931;0,423119235000423;214;60;No;4150;97,2;11817;9;99;33;55;27;200;63,1;1313000;0,015232292460015
Maldives;2012;MDV2012;2;8;0,859660434128519;0,21491510853213;710;50;No;8260;98;9306;22;96;1283;34,5;7,7;700;69,5;423000;0,16548463356974
Maldives;2013;MDV2013;2;6;0,675447483958122;0,225149161319374;720;70;No;8980;98;8883;21;96;1310;34,5;7,7;700;69,5;423000;0,16548463356974
Montenegro;2000;MNE2000;2;8;0,917220820912635;0,229305205228159;118;70;No;;94,6;8722;14;95;45;34,6;20,2;100;64,9;623000;0,016051364365971
Belize;2012;BLZ2012;3;10;1,14695340501792;0,344086021505376;259;60;No;4260;90,2;8718,75;23,25;86;15;17,4;1,8;500;62,2;375000;0,133333333333333
Belize;2013;BLZ2013;2;11;1,27536231884058;0,231884057971014;262;80;No;4330;90,6;8625;23;87;15;17,4;1,8;500;62,2;375000;0,133333333333333
Brunei Darussalam;2012;BRN2012;1;4;0,548471136706431;0,137117784176608;946;85;No;42290;95;7293;17;96;74;29;3;21000;70,3;429000;4,8951048951049
Bahamas;2012;BHS2012;3;8;1,35021097046414;0,506329113924051;1618;37;Yes;21330;92;5925;15;92;37;15,8;4,5;500;66,6;395000;0,126582278481013
Bahamas;2013;BHS2013;3;8;1,35021097046414;0,506329113924051;1621;97;Yes;23580;92;5925;15;92;38;15,8;4,5;500;66,6;395000;0,126582278481013
Saint Lucia;2000;LCA2000;0;2;0,588062334607468;0;272;80;No;4620;89,5;3401;19;79;257;16,3;4,6;600;63;179000;0,335195530726257
Saint Lucia;2013;LCA2013;1;3;1,08618124020174;0,36206041340058;621;90;No;8150;90;2761,97;15,43;91;288;16,3;4,6;600;66,1;179000;0,335195530726257
Saint Vincent and the Gredines;2000;VCT2000;0;2;0,909090909090909;0;137;80;No;3470;89,5;2200;20;71;277;15,6;2,2;550;62,6;110000;0,5
Greda;2013;GRD2013;1;2;0,974658869395711;0,487329434697856;499;75;No;7510;98;2052;19;88;311;15,4;4,4;800;65;108000;0,740740740740741
Greda;2012;GRD2012;1;2;0,974658869395711;0,487329434697856;471;65;No;7160;98;2052;19;89;310;15,4;4,4;800;65;108000;0,740740740740741
Greda;2000;GRD2000;0;3;1,46198830409357;0;339;40;No;4660;98;2052;19;92;299;15,4;4,4;800;62,4;108000;0,740740740740741
Saint Vincent and the Gredines;2012;VCT2012;0;2;1,06951871657754;0;340;90;No;6350;89,5;1870;17;85;280;15,6;2,2;550;64,6;110000;0,5
Dominica;2000;DMA2000;0;1;0,537316640696362;0;225;20;No;3600;72,6;1861,1;25,15;64;93;8,4;2,8;100;63,2;74000;0,135135135135135
Seychelles;2000;SYC2000;0;2;1,10803324099723;0;356;80;No;7290;98,4;1805;19;94;176;48;11;500;64,4;95000;0,526315789473684
Seychelles;2012;SYC2012;0;2;1,13186191284663;0;502;90;No;12240;98,4;1767;18,6;99;192;44;9;500;65,5;95000;0,526315789473684
Antigua and Barbuda;2012;ATG2012;0;1;0,576701268742791;0;727;30;No;11900;85,4;1734;17;87;220;5;1,9;100;67,2;102000;0,098039215686275
Seychelles;2013;SYC2013;0;2;1,20992135511192;0;551;90;No;13500;98,4;1653;17,4;100;196;44;9;500;65,5;95000;0,526315789473684
Antigua and Barbuda;2013;ATG2013;0;1;0,612745098039216;0;665;40;No;12020;85;1632;16;88;222;5;1,9;100;67,2;102000;0,098039215686275
Dominica;2012;DMA2012;0;1;0,695139584028473;0;399;24;No;6750;72,6;1438,56;19,44;78;96;8,4;2,8;100;65,1;74000;0,135135135135135
Dominica;2013;DMA2013;0;1;0,703462442140214;0;417;25;No;6610;73,4;1421,54;19,21;78;97;8,4;2,8;100;65,1;74000;0,135135135135135
Saint Kitts and Nevis;2000;K2000;0;1;0,953925403033483;0;392;50;No;8630;72,2;1048,3;19,06;85;175;12;0,6;270;75,3;55000;0,490909090909091
Chi;2012;CHN2012;8878;29766;1,77748104923406;0,530151070184101;322;80;No;5490;73,1;16746170,1;12,1;72;144;49;2;7000;68,5;1383981000;0,000505787290432
Chi;2013;CHN2013;7684;27633;1,65284060980606;0,459610872715585;367;90;No;6800;74,2;16718490,48;12,08;73;145;49;2;7000;68,5;1383981000;0,000505787290432
Mexico;2012;MEX2012;931;4375;1,78273311935103;0,379365607797899;618;99;Yes;9870;83,7;2454097;19;87;62;23;8;12000;67,4;129163000;0,009290586313418
Mexico;2013;MEX2013;812;4151;1,69145718364026;0,330875266951551;664;84;Yes;10020;84,4;2454097;19;88;63;22;8;12000;67,4;129163000;0,009290586313418
Turkey;2000;TUR2000;402;3634;2,04572194169073;0,226301656730785;197;90;Yes;4300;93,7;1776390;22;83;82;59;20;50000;61,6;80745000;0,061923338906434
Iran (Islamic Republic of);2012;IRN2012;749;3620;2,45738866001346;0,508448648163005;485;5;No;6790;89,6;1473108,45;18,15;88;47;23;1;5000;66,5;81163000;0,006160442566194
Iran (Islamic Republic of);2013;IRN2013;716;3455;2,37813732583241;0,492835405295516;432;10;No;7050;89,9;1452817,7;17,9;88;48;23;1;5000;66,5;81163000;0,006160442566194
Thailand;2000;THA2000;718;2456;2,37164073891673;0,693337968461813;67;10;No;1980;93,2;1035570;15;95;123;47;3;35000;63,4;69038000;0,050696717749645
Colombia;2012;COL2012;311;1404;1,7884074511882;0,396150083560918;530;84;Yes;7140;80,2;785056;16;83;42;17;7;5600;65,2;49066000;0,011413198548893
Colombia;2013;COL2013;257;1230;1,56676721151103;0,327365181592141;533;87;Yes;7760;80,6;785056;16;83;43;17;7;5600;65,2;49066000;0,011413198548893
Peru;2012;PER2012;265;1257;1,9109899787047;0,402873782304491;368;85;Yes;5670;73,7;657774,25;20,45;74;24;17,9;4,5;2700;65,7;32165000;0,008394217316959
Peru;2013;PER2013;246;1170;1,81874708534121;0,382403233328152;354;89;Yes;6270;74,6;643300;20;75;24;17,9;4,5;2700;65,7;32165000;0,008394217316959
Venezuela (Bolivarian Republic of);2012;VEN2012;456;1071;1,67464114832536;0,71301247771836;618;5;Yes;11740;94;639540;20;94;34;21,6;11,8;6500;65,2;31977000;0,020327110110392
Venezuela (Bolivarian Republic of);2013;VEN2013;425;1088;1,70122275385433;0,664540138224349;520;15;Yes;12480;94,4;639540;20;95;34;21,6;11,8;6500;65,2;31977000;0,020327110110392
Syrian Arab Republic;2013;SYR2013;208;790;1,80167852581646;0,474365991607371;43;80;No;970;95,7;438480;24;93;108;28,3;6,3;30000;55,9;18270000;0,164203612479475
Syrian Arab Republic;2012;SYR2012;212;848;1,93395365809159;0,483488414522897;73;60;No;970;95,7;438480;24;93;111;28,3;6,3;30000;55,9;18270000;0,164203612479475
Kazakhstan;2013;KAZ2013;147;749;1,83107611438706;0,359370078524562;580;52;Yes;11840;97,5;409049,08;22,73;98;6;45;9;2900;63,3;17996000;0,016114692153812
Kazakhstan;2012;KAZ2012;174;823;2,01553040874565;0,426126720682555;539;37;Yes;9940;97,5;408329,24;22,69;98;6;46;10;2900;63,3;17996000;0,016114692153812
Sri Lanka;2000;LKA2000;185;645;1,68215816981191;0,482479475062331;32;50;No;880;93,8;383436;18;85;297;32;2;100;63,9;21302000;0,00046943948925
Ecuador;2013;ECU2013;82;660;1,88415985383487;0,234092587900696;431;90;Yes;5830;83,8;350288,75;21,07;84;63;15;4;1900;67;16625000;0,011428571428571
Ecuador;2012;ECU2012;84;698;1,99928392409595;0,240601503759398;361;94;Yes;5410;82,8;349125;21;83;62;15;4;1900;67;16625000;0,011428571428571
Jordan;2000;JOR2000;116;522;1,73559159734275;0,385687021631722;171;20;Yes;1680;98,6;300762;31;99;58;42;8;100;62,9;9702000;0,00103071531643
Jordan;2013;JOR2013;99;411;1,51294283947345;0,364431486880466;336;60;Yes;3790;98,6;271656;28;97;95;66;11;100;65;9702000;0,00103071531643
Jordan;2012;JOR2012;99;411;1,51294283947345;0,364431486880466;351;50;Yes;3680;98,6;271656;28;97;90;64;10;100;65;9702000;0,00103071531643
El Salvador;2012;SLV2012;55;272;2,36925542664019;0,479077384063273;254;94;Yes;3640;72,6;114804;18;89;300;18,2;2,6;1000;64,1;6378000;0,015678896205707
El Salvador;2013;SLV2013;52;254;2,34261155073506;0,479589766292218;266;92;Yes;3750;73,4;108426;17;90;302;18,2;2,6;1000;64,1;6378000;0,015678896205707
Pama;2000;PAN2000;71;182;1,93048145358889;0,753099907718744;295;58;Yes;3910;73,4;94277;23;64;41;26;5;1000;66,4;4099000;0,024396194193706
Belarus;2000;BLR2000;37;172;2,01593999062354;0,433661509610877;75;5;No;1380;94,4;85320;9;95;49;64;13;500;61,2;9480000;0,005274261603376
Pama;2012;PAN2012;31;177;2,15906318614296;0,37814101000244;723;62;Yes;9530;73,4;81980;20;74;51;13;3;1300;68,1;4099000;0,031715052451818
Pama;2013;PAN2013;44;201;2,49168446795471;0,545443366119438;796;68;Yes;10510;73,9;80668,32;19,68;75;52;13;3;1300;68,1;4099000;0,031715052451818
Bulgaria;2012;BGR2012;15;117;1,74074762878929;0,223172772921704;520;94;Yes;7420;86;67212,5;9,5;86;67;45;30;500;66,4;7075000;0,007067137809187
Uruguay;2000;URY2000;11;83;1,50057853630315;0,198871854208852;773;89;Yes;7050;95,9;55312;16;94;19;48;37;1000;66,1;3457000;0,028926815157651
Armenia;2013;ARM2013;22;76;1,99527435022316;0,577579417169861;159;40;Yes;4120;89,5;38090;13;91;102;53;2;500;64,2;2930000;0,017064846416382
Armenia;2012;ARM2012;25;84;2,20530322919401;0,656340246783933;150;30;Yes;3880;89,5;38090;13;91;101;55;2;500;64,2;2930000;0,017064846416382
Trinidad and Tobago;2012;TTO2012;23;34;1,65570976381787;1,1200389578768;991;39;Yes;16070;91,5;20535;15;92;262;27,4;7,1;500;63,3;1369000;0,036523009495983
Trinidad and Tobago;2013;TTO2013;22;42;2,10276408338761;1,10144785320304;995;80;Yes;18100;91,5;19973,71;14,59;92;263;27,4;7,1;500;63,3;1369000;0,036523009495983
Guya;2012;GUY2012;3;32;2,16479502097145;0,202949533216074;235;90;Yes;3620;83,6;14782;19;85;4;27,9;3,5;1000;59;778000;0,12853470437018
Mauritius;2012;MUS2012;6;22;1,50990014069524;0,411790947462338;439;1;No;9260;93;14570,5;11,5;93;619;41;4;1200;66,8;1267000;0,094711917916338
Mauritius;2013;MUS2013;7;27;1,95506252579596;0,506868062243398;463;5;No;9790;93,2;13810,3;10,9;93;620;41;4;1200;66,8;1267000;0,094711917916338
Surime;2000;SUR2000;11;32;2,47123329986872;0,849486446829871;167;20;No;1900;79,3;12949;23;81;3;9,9;2,3;500;59,1;563000;0,088809946714032
Cabo Verde;2013;CPV2013;7;30;2,4975024975025;0,582750582750583;165;45;No;3440;70,1;12012;22;64;129;20;4;200;64,2;546000;0,036630036630037
Belize;2000;BLZ2000;1;19;1,68888888888889;0,088888888888889;139;40;No;3150;90,2;11250;30;83;11;17,4;1,8;500;60,5;375000;0,133333333333333
Surime;2012;SUR2012;0;18;1,68271477984482;0;437;60;No;8610;79,3;10697;19;79;3;9,9;2,3;500;63,1;563000;0,088809946714032
Surime;2013;SUR2013;0;16;1,57884349713835;0;445;80;No;9030;79,2;10134;18;79;3;9,9;2,3;500;63,1;563000;0,088809946714032
Samoa;2012;WSM2012;2;10;1,8896447467876;0,377928949357521;243;60;No;3780;91,6;5292;27;97;67;45;20;1000;66,6;196000;0,510204081632653
Samoa;2013;WSM2013;2;9;1,76609105180534;0,392464678178964;271;60;No;3920;91,5;5096;26;97;67;44;19;1000;66,6;196000;0,510204081632653
Tonga;2000;TON2000;1;7;2,31481481481481;0,330687830687831;92;20;No;2050;91,3;3024;28;89;136;54;15;200;64,3;108000;0,185185185185185
Tonga;2012;TON2012;1;6;2,13675213675214;0,356125356125356;197;25;No;4220;91,3;2808;26;93;146;48;13;200;66;108000;0,185185185185185
